,Bread,Cheese,Ground Beef,cheese burger ,1% fat milk,red apple,edamame,mini carrot,mandarin,cauliflower,celery stick,bosc pear ,orange,jicama stick,spinach ,kiwi,bartlett peat
Alanine,,,,,,,,,0.028,,,,,,,,0.016
"Alcohol, ethyl",,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,
Amino acids,,,,,,,,,0.0,,,,,,,,0.0
Arginine,,,,,,,,,0.068,,,,,,,,0.012
Ash,,,,,,0.1483,,,0.38,,,,,,,,0.3
Aspartic acid,,,,,,,,,0.129,,,,,,,,0.104
Betaine,,,,,,,,,0.1,,,,,,,,
Caffeine,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,
"Calcium, Ca",24.0,503.0,18.0,192.0,126.0,4.656,59.0,33.0,37.0,24.0,40.0,12.0,,12.0,99.0,67.0,8.0
"Carbohydrate, by difference",51.76,3.33,0.0,26.92,5.18,14.7817,8.24,9.58,13.34,4.71,2.97,15.66,90.48,8.82,3.53,86.67,15.1
"Carbohydrate, by summation",,,,,,14.263,,,,,,,,,,,
Carbohydrates,,,,,,0.0,,,0.0,,,,,,,,0.0
"Carotene, alpha",,,,,0.0,,,3480.0,101.0,,0.0,,,0.0,,,0.0
"Carotene, beta",,,,,1.0,,,8280.0,155.0,,270.0,,,13.0,,,8.0
Cholesterol,0.0,100.0,62.0,31.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
"Choline, total",,,,,17.4,,,8.8,10.2,,6.1,,,13.6,,,
"Copper, Cu",,,,,0.001,0.02429,,0.045,0.042,,0.035,,,0.048,,,0.07
"Cryptoxanthin, beta",,,,,0.0,,,0.0,407.0,,0.0,,,0.0,,,3.0
Cystine,,,,,,,,,0.002,,,,,,,,0.002
Energy,306.0,367.0,170.0,269.0,43.0,,106.0,41.0,223.0,24.0,14.0,60.0,381.0,38.0,24.0,353.0,238.0
Energy (Atwater General Factors),,,,,,61.7893,,,,,,,,,,,
Energy (Atwater Specific Factors),,,,,,55.622745,,,,,,,,,,,
"Fatty acids, total monounsaturated",,,,,0.21,,,0.012,0.06,,0.032,,,0.005,,,
